mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
saturn,Saturn,0.1.3,saturn-mc1.20.1-0.1.3.jar,,https://legacy.curseforge.com/minecraft/mc-mods/saturn,https://github.com/AbdElAziz333/Saturn/issues
kuma_api,KumaAPI,20.1.8,kuma-api-forge-20.1.8+1.20.1.jar,,https://mods.twelveiterations.com/mc/kuma,https://github.com/TwelveIterationMods/Kuma/issues
fabric_renderer_api_v1,Fabric Renderer API (v1),3.2.1+1d29b44577,fabric-renderer-api-v1-3.2.1+1d29b44577.jar,,,
geckolib,GeckoLib 4,4.4.7,geckolib-forge-1.20.1-4.4.7.jar,,http://geckolib.com/,https://github.com/bernie-g/geckolib/issues
playeranimator,Player Animator,1.0.2-rc1+1.20,player-animation-lib-forge-1.0.2-rc1+1.20.jar,,,
fabric_item_api_v1,Fabric Item API (v1),2.1.28+4d0bbcfa77,fabric-item-api-v1-2.1.28+4d0bbcfa77.jar,,,
org_quiltmc_parsers_json,json,0.2.1,YetAnotherConfigLib-3.5.0+1.20.1-fabric$json-0.2.1_mapped_srg_1.20.1.jar,,,
towntalk,TownTalk,1.1.0,towntalk-1.20.1-1.1.0.jar,,https://minecolonies.com,https://github.com/ldtteam/towntalk/issues/new/choose
fabric_rendering_fluids_v1,Fabric Rendering Fluids (v1),3.0.28+4ac5e37a77,fabric-rendering-fluids-v1-3.0.28+4ac5e37a77.jar,,,
fabric_models_v0,Fabric Models (v0),0.4.2+7c3892a477,fabric-models-v0-0.4.2+7c3892a477.jar,,,
loadingbackgrounds,Loading Backgrounds,1.5.0,loadingbackgrounds-forge-1.20.X-1.5.0.jar,,https://legacy.curseforge.com/minecraft/mc-mods/loadingbackgrounds,
valhelsia_furniture,Valhelsia Furniture,1.1.3,valhelsia_furniture-forge-1.20.1-1.1.3.jar,,,
fabric_convention_tags_v1,Fabric Convention Tags,1.5.5+fa3d1c0177,fabric-convention-tags-v1-1.5.5+fa3d1c0177.jar,,,
ritchiesprojectilelib,Ritchie's Projectile Library,2.0.0-dev+mc.1.20.1-forge-build.182,ritchiesprojectilelib-2.0.0-dev+mc.1.20.1-forge-build.182.jar,,,https://github.com/Wagers-of-Industrial-Warfare/RitchiesProjectileLib/issues
xaeroworldmap,Xaero's World Map,1.39.0,XaerosWorldMap_1.39.0_Forge_1.20.jar,,,
citadel,Citadel,2.6.0,citadel-2.6.0-1.20.1.jar,,https://github.com/Alex-the-666/Citadel,https://github.com/Alex-the-666/Citadel/issues
alexsmobs,Alex's Mobs,1.22.6,alexsmobs-1.22.6.jar,,https://www.curseforge.com/minecraft/mc-mods/alexs-mobs,https://github.com/Alex-the-666/AlexsMobs/issues
fabric_command_api_v1,Fabric Command API (v1),1.2.34+f71b366f77,fabric-command-api-v1-1.2.34+f71b366f77.jar,,,
